groep,team
A,Nederland
A,Mexico
A,Japan
A,Zuid-Korea

B,Brazilië
B,Frankrijk
B,Canada
B,Marokko

C,Argentinië
C,Duitsland
C,Uruguay
C,Zwitserland

D,Spanje
D,Denemarken
D,Australië
D,Tunesië

E,Engeland
E,Servië
E,Peru
E,Ghana

F,Portugal
F,Kroatië
F,VS
F,Egypte

G,België
G,Oekraïne
G,Nigeria
G,Costa Rica

H,Italië
H,Turkije
H,Japan 2
H,Paraguay

I,Colombia
I,Zweden
I,Kameroen
I,Irak

J,Senegal
J,Oostenrijk
J,Noorwegen
J,Qatar

K,Mexico 2
K,Polen
K,Schotland
K,Zuid-Afrika

L,Zwitserland 2
L,Tsjechië
L,Ivoorkust
L,Nieuw-Zeeland